Transaction Date,Posted Date,Card No.,Description,Category,Debit,Credit
2025-11-17,2025-11-18,1052,COSTCO WHSE #1226,Merchandise,124.63,
2025-11-17,2025-11-18,1052,COSTCO GAS #1226,Gas/Automotive,34.37,
2025-11-14,2025-11-17,1052,McDonalds 11579,Dining,1.38,
2025-11-14,2025-11-15,1052,WAL-MART #2323,Merchandise,3.65,
2025-11-13,2025-11-14,1052,CIRCLE K 05417,Gas/Automotive,60.00,
2025-11-13,2025-11-14,1052,COSTCO WHSE #1226,Merchandise,,12.79
2025-11-13,2025-11-13,7321,CAPITAL ONE AUTOPAY PYMT,Payment/Credit,,1261.02
2025-11-12,2025-11-13,1052,CIRCLE K 05417,Gas/Automotive,50.00,
2025-11-12,2025-11-13,1052,COSTCO WHSE #1226,Merchandise,56.48,
2025-11-12,2025-11-13,1052,COSTCO GAS #1226,Gas/Automotive,16.59,
2025-11-11,2025-11-12,1052,CIRCLE K 05417,Gas/Automotive,50.00,
2025-11-09,2025-11-10,1052,WAL-MART #2323,Merchandise,,17.02
2025-11-03,2025-11-04,1052,COSTCO WHSE #1226,Merchandise,130.44,
2025-11-03,2025-11-04,1052,COSTCO GAS #1226,Gas/Automotive,36.83,
2025-11-02,2025-11-03,1052,CEDAR POINT ONLINE,Entertainment,144.99,
2025-11-01,2025-11-03,1052,KINGS ISLAND FOOD,Dining,13.87,
2025-11-01,2025-11-03,1052,COSTCO GAS #0632,Gas/Automotive,26.63,
2025-10-31,2025-11-01,1052,WAL-MART #2323,Merchandise,27.67,
2025-10-30,2025-10-31,1052,COSTCO GAS #1226,Gas/Automotive,24.30,
2025-10-29,2025-10-30,1052,AMAZON MKTPL*N42615R41,Merchandise,18.03,
2025-10-27,2025-10-29,1052,ERAWAN THAI KITCHEN,Dining,60.60,
2025-10-26,2025-10-27,1052,AMAZON MKTPL*NU7TZ8SA2,Merchandise,3.12,
2025-10-25,2025-10-27,1052,GET GO #3657,Gas/Automotive,14.50,
2025-10-25,2025-10-27,1052,AMAZON MKTPL*NU2M77D42,Merchandise,12.80,
2025-10-23,2025-10-24,1052,COSTCO WHSE #1226,Merchandise,198.19,
2025-10-23,2025-10-24,1052,COSTCO GAS #1226,Gas/Automotive,37.32,
2025-10-23,2025-10-24,1052,COSTCO WHSE #1226,Merchandise,,13.99
2025-10-22,2025-10-22,1052,AMAZON MKTPLACE PMTS,Merchandise,,16.00
2025-10-22,2025-10-22,1052,AMAZON MKTPLACE PMTS,Merchandise,,8.16
2025-10-18,2025-10-20,1052,CEDAR POINT LESSEES,Entertainment,5.34,

